Badge Title | Issuing Organization | Description | Issuing Date | Verification Link | PNG Image

Prompt Design in Vertex AI Skill Badge | Google Cloud | Complete the introductory Prompt Design in Vertex AI skill badge to demonstrate skills in the following: prompt engineering, image analysis, and multimodal generative techniques, within Vertex AI. Discover how to craft effective prompts, guide generative AI output, and apply Gemini models to real-world marketing scenarios. | 2025-07-21 | N/A | https://images.credly.com/images/cef82b2e-970a-4318-8e59-c3e26b7f5c19/image.png

Inspect Rich Documents with Gemini Multimodality and Multimodal RAG Skill Badge | Google Cloud | Complete the intermediate Inspect Rich Documents with Gemini Multimodality and Multimodal RAG skill badge to demonstrate skills in the following: using multimodal prompts to extract information from text and visual data, generating a video description, and retrieving extra information beyond the video using multimodality with Gemini; building metadata of documents containing text and images, and printing citations by using Multimodal Retrieval Augmented Generation (RAG) with Gemini. | 2025-05-27 | N/A | https://images.credly.com/images/86a3283f-3e35-494f-82da-3fb3e89ba223/image.png

Building Generative AI-Powered Applications with Python | Coursera | The badge earner has demonstrated their understanding of building generative AI-powered applications using Python. They learned to use open-source LLMs hosted by platforms like IBM watsonx and Hugging Face. They also explored the retrieval-augmented generation (RAG) technology for enhancing LLMs. The earner knows how to utilize Python libraries like Flask and Gradio and frameworks like Langchain. They can also leverage IBM Watson® Speech Libraries for Embed for building voice-enabled chatbots. | 2024-08-25 | N/A | https://images.credly.com/images/e462102c-b2ee-4208-aca0-b58f53331266/image.png

Artificial Intelligence Essentials V2 | Coursera | The badge earner possesses the skills to harness AI, particularly generative AI, for career and business transformation. They understand the key concepts and terminology of AI and can apply this knowledge in their everyday work. They are also aware of the ethical considerations related to AI and the importance of AI governance. Additionally, the badge earner has explored common generative AI tools and can write prompts to obtain relevant outputs for various personal and professional use cases. | 2025-01-19 | N/A | https://images.credly.com/images/3e199561-bc4a-4621-9361-340fc43d997e/Coursera_20Artificial_20Intelligence_20Essentials_20V2.png

Generative AI: Foundation Models and Platforms | Coursera | This badge earner has demonstrated their understanding of the fundamental concepts of generative AI and its core models. They can describe the foundation models of generative AI and explain the capabilities of pretrained models for AI application development. The badge earner is familiar with features, capabilities, and applications of generative AI platforms such as IBM watsonx and Hugging Face. | 2024-09-22 | N/A | https://images.credly.com/images/b22dfb96-cd34-485c-ac03-2fc027e892cb/image.png
